ABLA|37.14114,-2.780104
PALOMERO|40.24598,-6.276446
PASARON DE LA VERA|40.05243,-5.820242
PEDROSO DE ACIM|39.824,-6.41306
PERALEDA DE LA MATA|39.85395,-5.461355
PERALEDA DE SAN ROMAN|39.74103,-5.386428
PERALES DEL PUERTO|40.15448,-6.68132
PESCUEZA|39.91832,-6.64637
PESGA (LA)|40.32642,-6.176128
PIEDRAS ALBAS|39.78506,-6.926807
PINOFRANQUEADO|40.30349,-6.332713
PIORNAL|40.11704,-5.850621
PLASENCIA|40.0305,-6.088251
PLASENZUELA|39.38169,-6.047251
PORTAJE|39.918,-6.561548
PORTEZUELO|39.81164,-6.475103
POZUELO DE ZARZON|40.14914,-6.415245
PUERTO DE SANTA CRUZ|39.31549,-5.859532
REBOLLAR|40.15337,-5.898876
RIOLOBOS|39.92095,-6.304895
ROBLEDILLO DE GATA|40.32271,-6.470017
ROBLEDILLO DE LA VERA|40.10108,-5.589018
ROBLEDILLO DE TRUJILLO|39.26907,-5.981236
ROBLEDOLLANO|39.61113,-5.510137
ROMANGORDO|39.74132,-5.699617
ROSALEJO|39.99511,-5.458256
RUANES|39.32804,-6.014173
SALORINO|39.47884,-7.00886
SALVATIERRA DE SANTIAGO|39.30373,-6.032602
SAN MARTIN DE TREVEJO|40.21355,-6.795899
SANTA ANA|39.30836,-5.991424
SANTA CRUZ DE LA SIERRA|39.33632,-5.846525
SANTA CRUZ DE PANIAGUA|40.19156,-6.341215
SANTA MARTA DE MAGASCA|39.51199,-6.099321
SANTIAGO DE ALCANTARA|39.60579,-7.244205
SANTIAGO DEL CAMPO|39.62868,-6.362584
SANTIBAÑEZ EL ALTO|40.18597,-6.546609
SANTIBAÑEZ EL BAJO|40.17627,-6.223605
SAUCEDILLA|39.85294,-5.677233
SEGURA DE TORO|40.22353,-5.948384
SERRADILLA|39.83054,-6.138085
SERREJON|39.81802,-5.802053
SIERRA DE FUENTES|39.43762,-6.275741
TALAVAN|39.71327,-6.283558
TALAVERUELA DE LA VERA|40.12172,-5.519372
TALAYUELA|39.98579,-5.609766
TEJEDA DE TIETAR|40.02016,-5.868539
TORIL|39.89747,-5.779137
TORNAVACAS|40.25297,-5.69185
TORNO (EL)|40.13552,-5.94529
TORRE DE DON MIGUEL|40.22451,-6.576208
TORRE DE SANTA MARIA|39.25404,-6.115738
TORRECILLA DE LOS ANGELES|40.24807,-6.418326
TORRECILLAS DE LA TIESA|39.56844,-5.742724
TORREJON EL RUBIO|39.77169,-6.014256
TORREJONCILLO|39.89564,-6.466379
TORREMENGA|40.04737,-5.773284
TORREMOCHA|39.34707,-6.170862
TORREORGAZ|39.38263,-6.247857
TORREQUEMADA|39.36641,-6.220093
TRUJILLO|39.45842,-5.881428
VALDASTILLAS|40.13248,-5.879483
VALDECAÑAS DE TAJO|39.75895,-5.619759
VALDEFUENTES|39.27539,-6.12266
VALDEHUNCAR|39.83708,-5.522842
VALDELACASA DE TAJO|39.72631,-5.281958
VALDEMORALES|39.20615,-6.067852
VALDEOBISPO|40.08203,-6.247542
VALENCIA DE ALCANTARA|39.41135,-7.246899
VALVERDE DE LA VERA|40.1233,-5.494221
VALVERDE DEL FRESNO|40.22512,-6.877804
VIANDAR DE LA VERA|40.12193,-5.537332
VILLA DEL CAMPO|40.14024,-6.426996
VILLA DEL REY|39.66001,-6.820529
VILLAMESIAS|39.24479,-5.872935
VILLAMIEL|40.18649,-6.785113
VILLANUEVA DE LA SIERRA|40.20169,-6.406775
VILLANUEVA DE LA VERA|40.12963,-5.4642
VILLAR DE PLASENCIA|40.13834,-6.029376
VILLAR DEL PEDROSO|39.70632,-5.196259
VILLASBUENAS DE GATA|40.1794,-6.625679
ZARZA DE GRANADILLA|40.23764,-6.047421
ZARZA DE MONTANCHEZ|39.25694,-6.033668
ZARZA LA MAYOR|39.87599,-6.86481
ZORITA|39.28505,-5.700322
ABEGONDO|43.21667,-8.283333
AMES|42.9,-8.633333
ARANGA|43.23333,-8.016667
ARES|43.4263,-8.247746
ARTEIXO|43.30451,-8.511387
ARZUA|42.92717,-8.164196
BAÑA (A)|42.80187,-8.842805
BERGONDO|43.31667,-8.233334
BETANZOS|43.28106,-8.211315
BOIMORTO|43.008,-8.127
BOIRO|42.65,-8.9
BOQUEIXON|42.817,-8.417
BRION|42.867,-8.678
CABANA DE BERGANTIÑOS|43.21917,-8.98
CABANAS|43.41724,-8.16521
CAMARIÑAS|43.12862,-9.184929
CAMBRE|43.29416,-8.34498
CAPELA (A)|42.69293,-8.792709
CARBALLO|43.21217,-8.691041
CARIÑO|43.73265,-7.877766
CARNOTA|42.82107,-9.0871
CARRAL|43.2297,-8.355897
CEDEIRA|43.66142,-8.05547
CEE|42.95541,-9.18975
CERCEDA|43.16024,-8.473271
CERDIDO|43.62384,-7.994961
CESURAS|43.17367,-8.197223
COIROS|43.25033,-8.164351
CORCUBION|42.94464,-9.19431
CORISTANCO|43.19048,-8.760949
CORUÑA (A)|43.37087,-8.395835
CULLEREDO|43.31584,-8.384923
CURTIS|43.12437,-8.146308
DODRO|42.7175,-8.714723
DUMBRIA|43.00933,-9.11521
FENE|43.47521,-8.165961
FERROL|43.48839,-8.222509
FISTERRA|42.90507,-9.264338
FRADES|43.04,-8.277223
IRIXOA|43.28474,-8.058925
LARACHA (A)|43.25232,-8.584469
LAXE|43.21975,-9.005163
LOUSAME|42.75896,-8.846885
MALPICA DE BERGANTIÑOS|43.32416,-8.809312
MAÑON|43.7692,-7.685581
MAZARICOS|42.93893,-8.992199
MELIDE|42.91393,-8.014727
MESIA|43.11592,-8.244491
MIÑO|43.3475,-8.206388
MOECHE|43.55053,-7.991225
MONFERO|43.32491,-8.054685
MUGARDOS|43.46075,-8.253842
MUROS|42.77432,-9.057509
MUXIA|43.10466,-9.218463
NARON|43.53705,-8.180766
NEDA|43.50128,-8.156269
NEGREIRA|42.90954,-8.736245
NOIA|42.78525,-8.888309
OLEIROS|43.3335,-8.313619
ORDES|43.07674,-8.407746
OROSO|42.99442,-8.434846
ORTIGUEIRA|43.68634,-7.851941
OUTES|42.85127,-8.926455
OZA DOS RIOS|43.21533,-8.186943
PADERNE|43.28677,-8.176355
PADRON|42.73898,-8.660538
PINO (O)|42.98462,-8.313807
POBRA DO CARAMIÑAL (A)|42.6033,-8.938943
PONTECESO|43.24269,-8.900965
PONTEDEUME|43.40258,-8.152691
PONTES DE GARCIA RODRIGUEZ (AS)|43.44582,-7.849446
PORTO DO SON|42.72468,-9.006695
RIANXO|42.65199,-8.81842
RIBEIRA|42.57627,-9.023945
ROIS|42.76181,-8.706309
SADA|43.35093,-8.254611
SAN SADURNIÑO|43.56245,-8.054992
SANTA COMBA|43.0477,-8.814226
SANTIAGO DE COMPOSTELA|42.88045,-8.546304
SANTISO|42.85,-8.05
SOBRADO|43.042,-8.027381
SOMOZAS (AS)|43.53605,-7.924339
TEO|42.80227,-8.586169
TOQUES|42.96787,-7.988449
TORDOIA|43.088,-8.56
TOURO|42.86709,-8.306829
TRAZO|43.01667,-8.533333
VAL DO DUBRA|43.0225,-8.638333
VALDOVIÑO|43.6,-8.133056
VEDRA|42.78234,-8.467377
VILARMAIOR|43.34461,-8.15395
VILASANTAR|43.06667,-8.1
VIMIANZO|43.1103,-9.033895
ZAS|43.09975,-8.916149
ABADIN|43.36666,-7.483333
ALFOZ|43.52817,-7.414435
ANTAS DE ULLA|42.78225,-7.891078
BALEIRA|43.00167,-7.239167
BARALLA|42.89286,-7.253127
BARREIROS|43.53333,-7.233333
BECERREA|42.85341,-7.162147
BEGONTE|43.14534,-7.680204
BOVEDA|42.62622,-7.479327
BURELA|43.65594,-7.363514
CARBALLEDO|42.51667,-7.833333
CASTRO DE REI|43.20859,-7.400369
CASTROVERDE|43.03097,-7.327102
CERVANTES|42.86984,-7.060073
CERVO|43.68209,-7.44769
CHANTADA|42.60867,-7.773468
CORGO (O)|42.93829,-7.415542
COSPEITO|43.23597,-7.558825
FOLGOSO DO COUREL|42.58882,-7.195468
FONSAGRADA (A)|43.12375,-7.06791
FOZ|43.56639,-7.25667
FRIOL|43.02889,-7.79354
GUITIRIZ|43.18174,-7.900185
GUNTIN|42.88778,-7.697222
INCIO (O)|42.64861,-7.33
LANCARA|42.86206,-7.348236
LOURENZA|43.4711,-7.297891
LUGO|43.01208,-7.555851
MEIRA|43.2131,-7.294944
MONDOÑEDO|43.4281,-7.362851
MONFORTE DE LEMOS|42.5185,-7.510688
MONTERROSO|42.79319,-7.836526
MURAS|43.46788,-7.723003
NAVIA DE SUARNA|42.96486,-7.003865
NEGUEIRA DE MUÑIZ|43.13335,-6.893023
NOGAIS (AS)|42.80933,-7.109268
OUROL|43.55678,-7.636109
OUTEIRO DE REI|43.10213,-7.615168
PALAS DE REI|42.87424,-7.868907
PANTON|42.51667,-7.6
PARADELA|42.76667,-7.6
PARAMO (O)|42.8396,-7.535555
PASTORIZA (A)|43.30063,-7.351371
PEDRAFITA DO CEBREIRO|42.72624,-7.021226
POBRA DO BROLLON (A)|42.55704,-7.392418
POL|43.15272,-7.330053
PONTENOVA (A)|43.34803,-7.192536
PORTOMARIN|42.80775,-7.615518
QUIROGA|42.47597,-7.271719
RABADE|43.12088,-7.621819
RIBADEO|43.53735,-7.043029
RIBAS DE SIL|42.44611,-7.297662
RIBEIRA DE PIQUIN|43.19055,-7.189803
RIOTORTO|43.35972,-7.254445
SAMOS|42.73054,-7.325293
SARRIA|42.77766,-7.414474
SAVIÑAO (O)|42.64709,-7.654811
SOBER|42.46107,-7.586344
TABOADA|42.71615,-7.762904
TRABADA|43.44833,-7.194592
TRIACASTELA|42.75665,-7.240443
VALADOURO (O)|43.56673,-7.459773
VICEDO (O)|43.73336,-7.672058
VILALBA|43.29541,-7.684412
VIVEIRO|43.66143,-7.594532
XERMADE|43.35552,-7.813554
XOVE|43.68557,-7.512421
ALLARIZ|42.19012,-7.801597
AMOEIRO|42.40992,-7.954321
ARNOIA (A)|42.25028,-8.133056
AVION|42.37632,-8.250866
BALTAR|41.94975,-7.716806
BANDE|42.03019,-7.976335
BAÑOS DE MOLGAS|42.24161,-7.672231
BARBADAS|42.29916,-7.887585
BARCO DE VALDEORRAS (O)|42.41542,-6.98196
BEADE|42.33477,-8.145673
BEARIZ|42.4678,-8.273106
BLANCOS (OS)|41.99734,-7.752397
BOBORAS|42.43336,-8.142965
BOLA (A)|42.152,-7.915448
BOLO (O)|42.4406,-8.006111
CALVOS DE RANDIN|41.94423,-7.897644
CARBALLEDA DE AVIA|42.32087,-8.164418
CARBALLEDA DE VALDEORRAS|42.37857,-6.880474
CARBALLIÑO (O)|42.42981,-8.077559
CARTELLE|42.24883,-8.070292
CASTRELO DE MIÑO|42.28333,-8.116667
CASTRELO DO VAL|41.9929,-7.42577
CASTRO CALDELAS|42.37637,-7.411907
CELANOVA|42.15223,-7.958191
CENLLE|42.34312,-8.087995
CHANDREXA DE QUEIXA|42.26029,-7.379771
COLES|42.40143,-7.836892
CORTEGADA|42.20771,-8.169045
CUALEDRO|41.99015,-7.595024
ENTRIMO|41.93333,-8.116667
ESGOS|42.32457,-7.695685
GOMESENDE|42.16586,-8.103775
GUDIÑA (A)|42.06117,-7.138263
IRIXO (O)|42.52346,-8.107206
LAROUCO|42.34745,-7.159348
LAZA|42.06162,-7.461647
LEIRO|42.36928,-8.123707
LOBEIRA|41.99889,-8.043056
LOBIOS|41.89356,-8.068343
MACEDA|42.27217,-7.650074
MANZANEDA|42.31055,-7.235425
MASIDE|42.41143,-8.025622
MELON|42.25759,-8.217762
MERCA (A)|42.22276,-7.904709
MEZQUITA (A)|42.00964,-7.04605
MONTEDERRAMO|42.27694,-7.502669
MONTERREI|41.94715,-7.449487
MUIÑOS|41.95426,-7.985605
NOGUEIRA DE RAMUIN|42.41308,-7.726115
OIMBRA|41.88543,-7.47204
OURENSE|42.34001,-7.864641
PADERNE DE ALLARIZ|42.2775,-7.745833
PADRENDA|42.13334,-8.15
PARADA DE SIL|42.38281,-7.568525
PEREIRO DE AGUIAR (O)|42.34643,-7.801086
PEROXA (A)|42.43982,-7.795459
PETIN|42.38257,-7.125877
PIÑOR|42.49816,-8.004752
POBRA DE TRIVES (A)|42.33931,-7.2539
PONTEDEVA|42.16861,-8.139167
PORQUEIRA|42.01787,-7.839515
PUNXIN|42.37028,-8.011945
QUINTELA DE LEIRADO|42.13896,-8.102153
RAIRIZ DE VEIGA|42.08272,-7.833268
RAMIRAS|42.18779,-8.022355
RIBADAVIA|42.28755,-8.143497
RIOS|41.97426,-7.282634
RUA (A)|42.39249,-7.120533
RUBIA|42.44963,-6.948192
SAN AMARO|42.37314,-8.071692
SAN CIBRAO DAS VIÑAS|42.29727,-7.873343
SAN CRISTOVO DE CEA|42.4728,-7.985322
SAN XOAN DE RIO|42.3706,-7.29888
SANDIAS|42.11305,-7.756991
SARREAUS|42.08629,-7.603325
TABOADELA|42.2409,-7.825325
TEIXEIRA (A)|42.38874,-7.266197
TOEN|42.31652,-7.954854
TRASMIRAS|42.02463,-7.616568
VEIGA (A)|42.2506,-7.02599
VEREA|42.1,-7.95
VERIN|41.94045,-7.439122
VIANA DO BOLO|42.17919,-7.112754
VILAMARIN|42.46451,-7.892807
VILAMARTIN DE VALDEORRAS|42.41521,-7.059831
VILAR DE BARRIO|42.16056,-7.612335
VILAR DE SANTOS|42.0871,-7.794695
VILARDEVOS|41.90748,-7.314034
VILARIÑO DE CONSO|42.17825,-7.171638
XINZO DE LIMIA|42.06366,-7.724412
XUNQUEIRA DE AMBIA|42.20422,-7.734962
XUNQUEIRA DE ESPADANEDO|42.31957,-7.629323
AGOLADA|42.76227,-8.019424
ARBO|42.1145,-8.319313
BAIONA|42.11809,-8.84958
BARRO|42.525,-8.647223
BUEU|42.31977,-8.790135
CALDAS DE REIS|42.6055,-8.643308
CAMBADOS|42.5138,-8.812893
CAMPO LAMEIRO|42.54222,-8.542778
CANGAS|42.26471,-8.782845
CAÑIZA (A)|42.21304,-8.27567
CATOIRA|42.66665,-8.722511
CERDEDO|42.53204,-8.391931
COTOBADE|42.46667,-8.466667
COVELO|42.23195,-8.363334
CRECENTE|42.15374,-8.223059
CUNTIS|42.63263,-8.563463
DOZON|42.57058,-8.04944
ESTRADA (A)|42.68958,-8.491302
FORCAREI|42.59233,-8.350904
FORNELOS DE MONTES|42.34055,-8.453166
GONDOMAR|42.11078,-8.761466
GROVE (O)|42.49366,-8.865339
GUARDA (A)|41.90252,-8.873672
ILLA DE AROUSA (A)|42.56406,-8.873684
LALIN|42.66137,-8.110957
LAMA (A)|42.11277,-8.302681
MARIN|42.39147,-8.699853
MEAÑO|42.45,-8.783333
MEIS|42.51667,-8.7
MOAÑA|42.28551,-8.749413
MONDARIZ|42.23425,-8.455334
MONDARIZ-BALNEARIO|42.22697,-8.465821
MORAÑA|42.56186,-8.560328
MOS|42.19545,-8.654388
NEVES (AS)|42.08818,-8.415079
NIGRAN|42.1452,-8.807062
OIA|42.00307,-8.875215
PAZOS DE BORBEN|42.29383,-8.531596
POIO|42.44446,-8.715083
PONTE CALDELAS|42.38924,-8.503109
PONTEAREAS|42.17637,-8.502382
PONTECESURES|42.71667,-8.65
PONTEVEDRA|42.43362,-8.648053
PORRIÑO (O)|42.16036,-8.619299
PORTAS|42.58333,-8.666667
REDONDELA|42.28379,-8.607425
RIBADUMIA|42.51466,-8.757588
RODEIRO|42.64951,-7.949817
ROSAL (O)|41.93539,-8.83549
SALCEDA DE CASELAS|42.10196,-8.558377
SALVATERRA DE MIÑO|42.08197,-8.499002
SANXENXO|42.39948,-8.806928
SILLEDA|42.69791,-8.248382
SOUTOMAIOR|42.333,-8.567
TOMIÑO|41.98744,-8.745583
TUI|42.04621,-8.643768
VALGA|42.69431,-8.639425
VIGO|42.23136,-8.712447
VILA DE CRUCES|42.79403,-8.170012
VILABOA|42.34724,-8.646326
VILAGARCIA DE AROUSA|42.59387,-8.765963
VILANOVA DE AROUSA|42.56221,-8.82772
ALAIOR|39.93064|4.139987
ALARO|39.70685|2.790548
ALCUDIA|39.85231|3.122027
ALGAIDA|39.55969|2.892573
ANDRATX|39.5708|2.421365
ARIANY|39.64943|3.11086
ARTÀ|39.69215|3.349073
BANYALBUFAR|39.68718|2.513457
BINISSALEM|39.68446|2.847511
BUGER|39.75927|2.985579
BUNYOLA|39.69663|2.699386
CALVIÀ|39.56524|2.504216
CAMPANET|39.77475|2.965845
CAMPOS|39.42727|3.021843
CAPDEPERA|39.70133|3.435561
CASTELL (ES)|39.8776|4.289603
CIUTADELLA DE MENORCA|40.00232|3.839262
CONSELL|39.67012|2.816188
COSTITX|39.65622|2.949179
DEYA|39.74844|2.649177
EIVISSA|38.90886|1.432378
ESCORCA|39.8211|2.869478
ESPORLES|39.66946|2.57915
ESTELLENCS|39.65333|2.481678
FELANITX|39.46876|3.148028
FERRERIES|39.98328|4.010968
FORMENTERA|38.6964|1.453135
FORNALUTX|39.7826|2.741559
INCA|39.71875|2.915544
LLORET DE VISTALEGRE|39.61689|2.974723
LLOSETA|39.71799|2.864577
LLUBI|39.70045|3.004657
LLUCMAJOR|39.48591|2.89485
MANACOR|39.57434|3.20142
MANCOR DE LA VALL|39.75063|2.873395
MAO|39.88961|4.264211
MARIA DE LA SALUT|39.67049|3.076207
MARRATXI|39.64213|2.752193
MERCADAL (ES)|39.99089|4.093808
MIGJORN GRAN (ES)|39.94633|4.049105
MONTUÏRI|39.57029|2.984617
MURO|39.73408|3.053606
PALMA|39.56951|2.649966
PETRA|39.6091|3.112162
POBLA (SA)|39.77052|3.016888
POLLENÇA|39.87775|3.017193
PORRERES|39.51733|3.023831
PUIGPUNYENT|39.62405|2.527614
SALINES (SES)|39.339|3.051014
SANT ANTONI DE PORTMANY|38.98012|1.306587
SANT JOAN|39.59594|3.039554
SANT JOAN DE LABRITJA|39.07785|1.51227
SANT JOSEP DE SA TALAIA|38.92173|1.293443
SANT LLORENÇ DES CARDASSAR|39.60896|3.284748
SANT LLUIS|39.85266|4.259394
SANTA EUGÈNIA|39.62394|2.839166
SANTA EULALIA DEL RIO|38.98257|1.530198
SANTA MARGALIDA|39.70306|3.103551
SANTA MARIA DEL CAMI|39.6468|2.776213
SANTANYI|39.35489|3.127745
SELVA|39.75464|2.90122
SENCELLES|39.64624|2.896189
SINEU|39.64284|3.010996
SOLLER|39.76583|2.714238
SON SERVERA|39.62423|3.356735
VALLDEMOSSA|39.71176|2.622538
VILAFRANCA DE BONANY|39.56957|3.084015
ABALOS|42.57265,-2.710933
AGONCILLO|42.44667,-2.290619
AGUILAR DEL RIO ALHAMA|41.9618,-1.994517
AJAMIL DE CAMEROS|42.16764,-2.486093
ALBELDA DE IREGUA|42.35826,-2.473416
ALBERITE|42.40607,-2.440523
ALCANADRE|42.40578,-2.118423
ALDEANUEVA DE EBRO|42.2292,-1.887112
ALESANCO|42.41421,-2.8169
ALESON|42.40511,-2.690376
ALFARO|42.17858,-1.749326
ALMARZA DE CAMEROS|42.21799,-2.598178
ANGUCIANA|42.57567,-2.908328
ANGUIANO|42.26134,-2.764917
ARENZANA DE ABAJO|42.3866,-2.7191
ARENZANA DE ARRIBA|42.3876,-2.69415
ARNEDILLO|42.2122,-2.235894
ARNEDO|42.22784,-2.100014
ARRUBAL|42.43536,-2.25173
AUSEJO|42.34546,-2.169606
AUTOL|42.21553,-2.006565
AZOFRA|42.42418,-2.800831
BADARAN|42.3673,-2.808181
BAÑARES|42.46864,-2.911659
BAÑOS DE RIO TOBIA|42.33489,-2.761148
BAÑOS DE RIOJA|42.51219,-2.945273
BERCEO|42.33819,-2.852499
BERGASA|42.25214,-2.132939
BERGASILLAS BAJERA|42.24489,-2.158813
BEZARES|42.37076,-2.670013
BOBADILLA|42.31765,-2.759309
BRIEVA DE CAMEROS|42.16628,-2.800397
BRIÑAS|42.60185,-2.830334
BRIONES|42.54424,-2.785056
CABEZON DE CAMEROS|42.19762,-2.51906
CALAHORRA|42.30372,-1.965034
CAMPROVIN|42.35464,-2.722103
CANALES DE LA SIERRA|42.14049,-3.024993
CAÑAS|42.39169,-2.846487
CANILLAS DE RIO TUERTO|42.39923,-2.841517
CARDENAS|42.37424,-2.767255
CASALARREINA|42.54792,-2.913199
CASTAÑARES DE RIOJA|42.5118,-2.931715
CASTROVIEJO|42.33028,-2.661105
CELLORIGO|42.62777,-2.99873
CENICERO|42.48131,-2.641844
CERVERA DEL RIO ALHAMA|42.00699,-1.95191
CIDAMON|42.49515,-2.879802
CIHURI|42.56455,-2.9222
CIRUEÑA|42.41072,-2.895997
CLAVIJO|42.34995,-2.425871
CORDOVIN|42.38482,-2.814371
CORERA|42.34285,-2.219425
CORNAGO|42.06551,-2.093088
CORPORALES|42.43361,-2.994002
CUZCURRITA DE RIO TIRON|42.54151,-2.963024
DAROCA DE RIOJA|42.37144,-2.58142
ENCISO|42.14893,-2.269399
ENTRENA|42.38834,-2.530942
ESTOLLO|42.32934,-2.850387
EZCARAY|42.32673,-3.013395
FONCEA|42.61551,-3.038363
FONZALECHE|42.58122,-3.011809
FUENMAYOR|42.467,-2.562578
GALBARRULI|42.62254,-2.961143
GALILEA|42.34824,-2.235826
GALLINERO DE CAMEROS|42.17146,-2.617937
GIMILEO|42.5504,-2.82106
GRAÑON|42.45045,-3.026787
GRAVALOS|42.10866,-2.001227
HARO|42.57721,-2.846298
HERCE|42.21436,-2.164783
HERRAMELLURI|42.50209,-3.019801
HERVIAS|42.4481,-2.885615
HORMILLA|42.43786,-2.774394
HORMILLEJA|42.45579,-2.730995
HORNILLOS DE CAMEROS|42.21006,-2.419479
HORNOS DE MONCALVILLO|42.39176,-2.585274
HUERCANOS|42.4291,-2.694138
IGEA|42.07071,-2.010171
JALON DE CAMEROS|42.21824,-2.488461
LAGUNA DE CAMEROS|42.1751,-2.542447
LAGUNILLA DEL JUBERA|42.33369,-2.320709
LARDERO|42.42645,-2.461432
LEDESMA DE LA COGOLLA|42.3204,-2.720068
LEIVA|42.50365,-3.046514
LEZA DE RIO LEZA|42.32795,-2.405732
LOGROÑO|42.46577,-2.449995
LUMBRERAS|42.105,-2.62399
MANJARRES|42.3926,-2.67522
MANSILLA DE LA SIERRA|42.15337,-2.945217
MANZANARES DE RIOJA|42.39614,-2.895233
MATUTE|42.29838,-2.795419
MEDRANO|42.38266,-2.55403
MUNILLA|42.18866,-2.295301
MURILLO DE RIO LEZA|42.40302,-2.324659
MURO DE AGUAS|42.13338,-2.109735
MURO EN CAMEROS|42.22531,-2.528894
NAJERA|42.41604,-2.734324
NALDA|42.33414,-2.486961
NAVAJUN|41.96408,-2.098725
NAVARRETE|42.43074,-2.564667
NESTARES|42.26964,-2.61939
NIEVA DE CAMEROS|42.21777,-2.667628
OCHANDURI|42.52465,-3.003631
OCON|42.29795,-2.244663
OJACASTRO|42.34657,-3.005141
OLLAURI|42.54215,-2.833227
ORTIGOSA DE CAMEROS|42.17596,-2.705041
PAZUENGOS|42.31839,-2.925584
PEDROSO|42.03333,-2.716667
PINILLOS|42.19918,-2.596651
PRADEJON|42.33448,-2.068308
PRADILLO|42.17748,-2.640748
PREJANO|42.18618,-2.179706
QUEL|42.22894,-2.049811
RABANERA|42.18958,-2.486754
RASILLO DE CAMEROS (EL)|42.19453,-2.69815
REDAL (EL)|42.33796,-2.201439
RIBAFRECHA|42.35477,-2.387509
RINCON DE SOTO|42.23453,-1.850801
ROBRES DEL CASTILLO|42.27408,-2.292233
RODEZNO|42.5257,-2.845027
SAJAZARRA|42.5884,-2.961486
SAN ASENSIO|42.49755,-2.748897
SAN MILLAN DE LA COGOLLA|42.329,-2.861402
SAN MILLAN DE YECORA|42.54663,-3.096873
SAN ROMAN DE CAMEROS|42.23228,-2.473908
SAN TORCUATO|42.48249,-2.890032
SAN VICENTE DE LA SONSIERRA|42.56242,-2.759273
SANTA COLOMA|42.36699,-2.655694
SANTA ENGRACIA DEL JUBERA|42.30088,-2.292164
SANTA EULALIA BAJERA|42.2103,-2.191216
SANTO DOMINGO DE LA CALZADA|42.44199,-2.95259
SANTURDE DE RIOJA|42.38959,-2.980024
SANTURDEJO|42.37824,-2.954972
SOJUELA|42.37001,-2.545047
SORZANO|42.34253,-2.528136
SOTES|42.40012,-2.602225
SOTO EN CAMEROS|42.28662,-2.424889
TERROBA|42.25843,-2.443991
TIRGO|42.54567,-2.948646
TOBIA|42.29815,-2.815388
TORMANTOS|42.49433,-3.074003
TORRE EN CAMEROS|42.24041,-2.51884
TORRECILLA EN CAMEROS|42.25526,-2.630543
TORRECILLA SOBRE ALESANCO|42.40828,-2.834565
TORREMONTALBO|42.50055,-2.685056
TREVIANA|42.55835,-3.051075
TRICIO|42.40126,-2.718959
TUDELILLA|42.29966,-2.116139
URUÑUELA|42.44272,-2.707949
VALDEMADERA|41.98395,-2.073984
VALGAÑON|42.31764,-3.06729
VENTOSA|42.40391,-2.626475
VENTROSA|42.15555,-2.852024
VIGUERA|42.30816,-2.533868
VILLALBA DE RIOJA|42.60916,-2.88795
VILLALOBAR DE RIOJA|42.49213,-2.961956
VILLAMEDIANA DE IREGUA|42.4263,-2.419214
VILLANUEVA DE CAMEROS|42.16763,-2.64923
VILLAR DE ARNEDO (EL)|42.3207,-2.095296
VILLAR DE TORRE|42.37067,-2.865805
VILLAREJO|42.37299,-2.887695
VILLARROYA|42.13246,-2.066742
VILLARTA-QUINTANA|42.42986,-3.049242
VILLAVELAYO|42.13184,-2.985576
VILLAVERDE DE RIOJA|42.32081,-2.8139
VILLOSLADA DE CAMEROS|42.11401,-2.673385
VINIEGRA DE ABAJO|42.15181,-2.888074
VINIEGRA DE ARRIBA|42.09575,-2.834686
ZARRATON|42.51579,-2.882306
ZARZOSA|42.1813,-2.341549
ZORRAQUIN|42.32597,-3.039334
ACEBEDA (LA)|41.08697,-3.624634
AJALVIR|40.53437,-3.481002
ALAMEDA DEL VALLE|40.9179,-3.843788
ALAMO (EL)|40.22972,-3.992688
ALCALA DE HENARES|40.48166,-3.364136
ALCOBENDAS|40.54754,-3.642091
ALCORCON|40.34912,-3.828811
ALDEA DEL FRESNO|40.32399,-4.202217
ALGETE|40.59642,-3.497902
ALPEDRETE|40.65875,-4.023713
AMBITE|40.3292,-3.181895
ANCHUELO|40.46549,-3.268585
ARANJUEZ|40.03209,-3.603288
ARGANDA DEL REY|40.30095,-3.43808
ARROYOMOLINOS|40.26884,-3.920291
ATAZAR (EL)|40.93333,-3.466667
BATRES|40.21029,-3.922307
BECERRIL DE LA SIERRA|40.71638,-3.989412
BELMONTE DE TAJO|40.13364,-3.339654
BERRUECO (EL)|40.88814,-3.561255
BERZOSA DEL LOZOYA|40.97594,-3.525082
BOADILLA DEL MONTE|40.40525,-3.876992
BOALO (EL)|40.71746,-3.920084
BRAOJOS|41.04005,-3.643112
BREA DE TAJO|40.23012,-3.109499
BRUNETE|40.40554,-3.997736
BUITRAGO DEL LOZOYA|40.99368,-3.636723
BUSTARVIEJO|40.85811,-3.70969
CABANILLAS DE LA SIERRA|40.81968,-3.626066
CABRERA (LA)|40.86399,-3.615572
CADALSO DE LOS VIDRIOS|40.30094,-4.443737
CAMARMA DE ESTERUELAS|40.54861,-3.377597
CAMPO REAL|40.33815,-3.380982
CANENCIA|40.90981,-3.737718
CARABAÑA|40.25669,-3.234641
CASARRUBUELOS|40.17114,-3.833068
CENICIENTOS|40.26463,-4.464909
CERCEDILLA|40.74145,-4.054667
CERVERA DE BUITRAGO|40.92196,-3.53016
CHAPINERIA|40.37918,-4.20943
CHINCHON|40.14019,-3.415684
CIEMPOZUELOS|40.15934,-3.6184
COBEÑA|40.56733,-3.504839
COLLADO MEDIANO|40.69389,-4.023123
COLLADO VILLALBA|40.62725,-4.008587
COLMENAR DE OREJA|40.10758,-3.387693
